Table Name:,Pri.H-2012 Male Nondisabled Annuitant
Table Identity:,3594
Provider Domain:,soa.org
Provider Name:,Retirement Plans Experience Committee
Table Reference:,"Society of Actuaries, pri-2012-mort-tables-headcount.xlsx, Sheet 'Nondisabled Annuitant', https://www.soa.org/globalassets/assets/files/resources/experience-studies/2019/pri-2012-mort-tables-headcount.xlsx"
Content Type:,Annuitant Mortality
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Male Nondisabled Annuitant. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
EffDate:,
Comments:,Study Data: The primary focus of this study was a comprehensive review of recent mortality experience of private-sector retirement plans in the United States. The final dataset upon which this study has been based includes approximately 16 million life-years of exposure and 343 thousand deaths from private pension plans across the United States.  Data certified: 05/2019.
Keywords:,"Aggregate, Annuitant Mortality, United States of America"

Table # ,1
Table Description:,"Pri-2012 Headcount-weighted Mortality Table - Male Nondisabled Annuitant. Ages 50-120. Base Year January 1, 2012 - December 31, 2012."
Nation:,United States of America
Scaling Factor:,0
Data Type:,Floating Point
"Row, Column (if applicable)->id:",Age
"Row, Column (if applicable)->ScaleType:",Age
"Row, Column (if applicable)->AxisName:",Age
"Row, Column (if applicable)->MinScaleValue:",50
"Row, Column (if applicable)->MaxScaleValue:",120
"Row, Column (if applicable)->Increment:",1

Row\Column,1
50,0.00665
51,0.00687
52,0.00716
53,0.00749
54,0.00786
55,0.00823
56,0.0087
57,0.00923
58,0.00976
59,0.01026
60,0.01069
61,0.01106
62,0.01143
63,0.01185
64,0.01242
65,0.0132
66,0.01419
67,0.01542
68,0.01687
69,0.01853
70,0.02042
71,0.02255
72,0.02493
73,0.02758
74,0.03051
75,0.03377
76,0.03741
77,0.0415
78,0.0461
79,0.05128
80,0.05708
81,0.06354
82,0.07069
83,0.07859
84,0.08733
85,0.09702
86,0.10779
87,0.11979
88,0.13305
89,0.14758
90,0.16324
91,0.17958
92,0.19631
93,0.2133
94,0.23049
95,0.2479
96,0.26559
97,0.28363
98,0.30206
99,0.32087
100,0.33996
101,0.3591
102,0.37794
103,0.39633
104,0.41415
105,0.43131
106,0.44771
107,0.46329
108,0.478
109,0.49181
110,0.5
111,0.5
112,0.5
113,0.5
114,0.5
115,0.5
116,0.5
117,0.5
118,0.5
119,0.5
120,1
